都道府県,市町村,一般競争 ,総合評価落札方式,プロポーザル方式,低入札価格調査・最低制限価格制度,予定価格の公表,R1年度競争入札平均落札率
福島県 ,大玉村,本格導入 ,導入していない ,導入していない ,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.937
福島県 ,鏡石町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,"原則非公表、一部案件
で事後公表",-
福島県 ,天栄村,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,-
福島県 ,下郷町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,0.924
福島県 ,檜枝岐村,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",-
福島県 ,只見町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
福島県 ,南会津町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.97
福島県 ,北塩原村,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,-
福島県 ,西会津町,本格導入 ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.88
福島県 ,磐梯町,導入していない ,2008年試行導入 ,試行導入 ,最低制限価格制度のみ導入,"原則非公表、一部案件
で事後公表",-
福島県 ,猪苗代町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,-
福島県 ,会津坂下町,試行導入 ,2009年試行導入 ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,-
福島県 ,湯川村,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.905
福島県 ,柳津町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.94
福島県 ,三島町,試行導入 ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,全案件非公表 ,0.965
福島県 ,金山町,試行導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,-
福島県 ,昭和村,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.973
福島県 ,会津美里町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"原則非公表、一部案件
で事後公表",0.969
福島県 ,西郷村,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.947
福島県 ,泉崎村,本格導入 ,2009年試行導入 ,導入していない ,低入札価格調査制度及び最低制限価格制度を併用,全案件非公表 ,-
福島県 ,中島村,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
福島県 ,矢吹町,本格導入 ,導入していない ,導入していない ,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.953
福島県 ,棚倉町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
福島県 ,矢祭町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
福島県 ,塙町,本格導入 ,2000年試行導入 ,試行導入 ,最低制限価格制度のみ導入,全案件事後公表 ,-
福島県 ,鮫川村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.956
福島県 ,石川町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.898
福島県 ,玉川村,試行導入 ,2017年試行導入 ,試行導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.981
福島県 ,平田村,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,1
福島県 ,浅川町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
福島県 ,古殿町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
福島県 ,三春町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
福島県 ,小野町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
福島県 ,広野町,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.957
福島県 ,楢葉町,試行導入 ,2019年本格導入 ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.965
福島県 ,富岡町,本格導入 ,2016年本格導入 ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.967
福島県 ,川内村,本格導入 ,2012年本格導入 ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.976
福島県 ,大熊町,本格導入 ,"本格導入（導入
年不明） ",本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
福島県 ,双葉町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,0.855
福島県 ,浪江町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.842
福島県 ,葛尾村,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.953
福島県 ,新地町,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件非公表 ,-
福島県 ,飯舘村,導入していない ,2009年試行導入 ,試行導入 ,いずれの制度も導入していない ,全案件非公表 ,-
茨城県 ,水戸市,試行導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.922
茨城県 ,日立市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,-
茨城県 ,土浦市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,"原則事前公表、一部の
案件で事後公表を試行",0.864
茨城県 ,古河市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.837
茨城県 ,石岡市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.949
茨城県 ,結城市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.946
茨城県 ,龍ケ崎市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.866
茨城県 ,下妻市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.947
茨城県 ,常総市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.874
茨城県 ,常陸太田市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"原則事前公表、一部の
案件で事後公表を試行",0.851
茨城県 ,高萩市,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.955
茨城県 ,北茨城市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.948
茨城県 ,笠間市,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.916
茨城県 ,取手市,導入していない ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.88
茨城県 ,牛久市,本格導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.833
茨城県 ,つくば市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.85
茨城県 ,ひたちなか市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"原則非公表、一部案件
で事前公表",0.753
茨城県 ,鹿嶋市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,-
茨城県 ,潮来市,導入していない ,導入していない ,導入していない ,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.766
茨城県 ,守谷市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"原則非公表、一部案件
で事前公表",0.79
茨城県 ,常陸大宮市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.95
茨城県 ,那珂市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.944
茨城県 ,筑西市,導入していない ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.905
茨城県 ,坂東市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.95
茨城県 ,稲敷市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.932
茨城県 ,かすみがうら市,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.663
茨城県 ,桜川市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.941
茨城県 ,神栖市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.925
茨城県 ,行方市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.945
茨城県 ,鉾田市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.943
茨城県 ,つくばみらい市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.876
茨城県 ,小美玉市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.974
茨城県 ,茨城町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.95
茨城県 ,大洗町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
茨城県 ,城里町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.847
茨城県 ,東海村,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,-
茨城県 ,大子町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,-
茨城県 ,美浦村,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,0.832
茨城県 ,阿見町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.909
茨城県 ,河内町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.924
茨城県 ,八千代町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.931
茨城県 ,五霞町,本格導入 ,導入していない ,本格導入,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.937
茨城県 ,境町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.93
茨城県 ,利根町,本格導入 ,導入していない ,本格導入 ,低入札価格調査制度及び最低制限価格制度を併用,案件により事後公表及,0.927
栃木県 ,宇都宮市,導入していない ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.942
栃木県 ,足利市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.89
栃木県 ,栃木市,本格導入 ,2010年試行導入 ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.933
栃木県 ,佐野市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.882
栃木県 ,鹿沼市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.936
栃木県 ,日光市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.961
栃木県 ,小山市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,"原則事前公表、一部の
案件で事後公表を試行",0.939
栃木県 ,真岡市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.876
栃木県 ,大田原市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.946
栃木県 ,矢板市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
栃木県 ,那須塩原市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,-
栃木県 ,さくら市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.937
栃木県 ,那須烏山市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.936
栃木県 ,下野市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.926
栃木県 ,上三川町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.907
栃木県 ,益子町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.955
栃木県 ,茂木町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.9
栃木県 ,市貝町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,-
栃木県 ,芳賀町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.939
栃木県 ,壬生町,導入していない ,導入していない ,導入していない ,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.941
栃木県 ,野木町,導入していない ,2007年試行導入 ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.952
栃木県 ,塩谷町,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.952
栃木県 ,高根沢町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.947
栃木県 ,那須町,導入していない ,導入していない ,導入していない ,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,-
栃木県 ,那珂川町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.947
群馬県 ,前橋市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.947
群馬県 ,高崎市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.878
群馬県 ,桐生市,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.809
群馬県 ,伊勢崎市,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.926
群馬県 ,太田市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.799
群馬県 ,沼田市,本格導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.924
群馬県 ,館林市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.788
群馬県 ,渋川市,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.807
群馬県 ,藤岡市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.899
群馬県 ,富岡市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.947
群馬県 ,安中市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.839
群馬県 ,みどり市,導入していない ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.877
群馬県 ,榛東村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
群馬県 ,吉岡町,導入していない ,2013年試行導入 ,本格導入 ,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.861
群馬県 ,上野村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
群馬県 ,神流町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
群馬県 ,下仁田町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.952
群馬県 ,南牧村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
群馬県 ,甘楽町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.935
群馬県 ,中之条町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,-
群馬県 ,長野原町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.9
群馬県 ,嬬恋村,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.94
群馬県 ,草津町,導入していない ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件非公表 ,-
群馬県 ,高山村,導入していない ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
群馬県 ,東吾妻町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.925
群馬県 ,片品村,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
群馬県 ,川場村,本格導入 ,2013年本格導入 ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
群馬県 ,昭和村,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
群馬県 ,みなかみ町,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.908
群馬県 ,玉村町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.736
群馬県 ,板倉町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.794
群馬県 ,明和町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
群馬県 ,千代田町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,-
群馬県 ,大泉町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.947
群馬県 ,邑楽町,本格導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.818
埼玉県 ,川越市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.893
埼玉県 ,熊谷市,導入していない ,導入していない ,本格導入 ,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.929
埼玉県 ,川口市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.937
埼玉県 ,行田市,導入していない ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.8
埼玉県 ,秩父市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.887
埼玉県 ,所沢市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,-
埼玉県 ,飯能市,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.821
埼玉県 ,加須市,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.942
埼玉県 ,本庄市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.816
埼玉県 ,東松山市,本格導入 ,導入していない ,本格導入,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.836
埼玉県 ,春日部市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.805
埼玉県 ,狭山市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.89
埼玉県 ,羽生市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.949
埼玉県 ,鴻巣市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.863
埼玉県 ,深谷市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.785
埼玉県 ,上尾市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.928
埼玉県 ,草加市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.841
埼玉県 ,越谷市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.75
埼玉県 ,蕨市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.793
埼玉県 ,戸田市,本格導入 ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.824
埼玉県 ,入間市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.945
埼玉県 ,朝霞市,導入していない ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.73
埼玉県 ,志木市,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,1
埼玉県 ,和光市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.931
埼玉県 ,新座市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.929
埼玉県 ,桶川市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.852
埼玉県 ,久喜市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.904
埼玉県 ,北本市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.847
埼玉県 ,八潮市,試行導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.921
埼玉県 ,富士見市,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.911
埼玉県 ,三郷市,試行導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.914
埼玉県 ,蓮田市,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.796
埼玉県 ,坂戸市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.909
埼玉県 ,幸手市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.899
埼玉県 ,鶴ヶ島市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.911
埼玉県 ,日高市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.916
埼玉県 ,吉川市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,-
埼玉県 ,ふじみ野市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.782
埼玉県 ,白岡市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.912
埼玉県 ,伊奈町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.937
埼玉県 ,三芳町,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.841
埼玉県 ,毛呂山町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.931
埼玉県 ,越生町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
埼玉県 ,滑川町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
埼玉県 ,嵐山町,試行導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.897
埼玉県 ,小川町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.916
埼玉県 ,川島町,試行導入 ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.834
埼玉県 ,吉見町,試行導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.885
埼玉県 ,鳩山町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
埼玉県 ,ときがわ町,導入していない ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
埼玉県 ,横瀬町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,-
埼玉県 ,皆野町,本格導入 ,2008年本格導入 ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,1
埼玉県 ,長瀞町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.928
埼玉県 ,小鹿野町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
埼玉県 ,東秩父村,導入していない ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件非公表 ,-
埼玉県 ,美里町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.858
埼玉県 ,神川町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.862
埼玉県 ,上里町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,0.94
埼玉県 ,寄居町,導入していない ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.88
埼玉県 ,宮代町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.707
埼玉県 ,杉戸町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",-
埼玉県 ,松伏町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.946
千葉県 ,銚子市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件非公表 ,-
千葉県 ,市川市,本格導入 ,2009年本格導入 ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.798
千葉県 ,船橋市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"原則非公表、一部案件
で事前公表",0.855
千葉県 ,館山市,試行導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,-
千葉県 ,木更津市,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.819
千葉県 ,松戸市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.848
千葉県 ,野田市,本格導入 ,導入していない ,本格導入 ,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.838
千葉県 ,茂原市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.832
千葉県 ,成田市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.748
千葉県 ,佐倉市,本格導入 ,導入していない ,本格導入,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.807
千葉県 ,東金市,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,"原則事前公表、一部の
案件で事後公表を試行",0.919
千葉県 ,旭市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.718
千葉県 ,習志野市,本格導入 ,導入していない ,本格導入,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.84
千葉県 ,柏市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.849
千葉県 ,勝浦市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.68
千葉県 ,市原市,本格導入 ,導入していない ,本格導入,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.824
千葉県 ,流山市,導入していない ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.703
千葉県 ,八千代市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.831
千葉県 ,我孫子市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.805
千葉県 ,鴨川市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.862
千葉県 ,鎌ケ谷市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.657
千葉県 ,君津市,導入していない ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.886
千葉県 ,富津市,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.866
